Room,A,B,C,D,F,G,D1,C1,B1,A1
2002,EE230,EE525,,,EE213M,,EE648,EE668,EE667,
2201,EE230,EE221,EE203,EE230,,EE322M,,EE340,EE360,
2202,EE230,,,EE636,EE534,,EE351,,,
3101,EE230,EE503,,EE663,EE561,,EE645,,EE621,
4101,EE230,,,EE652,,,EE631,EE634,EE653,
3202,,,EE664,,,,,,,
2101,,,EE671,,,,,,,
4201,,CE220,CE206,CE205,CE307,,CE308,,,CE311
3102,,CE606,CE505,CE643,,,CE623,CE607,CE564,CE652
4208,,CE525,CE646,CE510,CE570,,CE595,CE664,CE628,
4205,,CE612,CE584,CE583,CE615,,,,,
4211,,CE555,,,,,,CE614,,
4G3,,,CE552,,,,,,,
4001,,,CE616,,,,,,,
1206,,,,RT515,,,RT517,,RT520,RT520
1101,,HS521,,HS604,HS512,,HS622,,,
1102,HS621,,HS503,,,,,,,
4206,,PH204,PH443,PH202,,,,,,
4003,,,PH304,PH306,,,,PH462,PH414,
4004,,PH404,PH406,PH410,,PH382M,,PH702,PH703,
4212,,,PH532,PH523,,,,,,
4004,,,PH706,PH706,,,PH412,PH412,PH412,
4212,,,,,,,PH516,PH516,PH516,PH516
1003,ME615,ME222,ME223,ME224,ME618,ME321M,ME323,ME324,ME322,ME321
1005,ME688,ME222,ME223,ME224,ME619,,ME323,ME324,ME322,ME321
1G2,,,,,,,,,,ME522
1004,ME686,,ME513,ME691,ME514,,,,,
1203,,ME662,,ME532,ME613,,,,,
1G1,,ME421,,,,,,,,
xxxx,ME695,,,,,,,,,
