Course,ClassSlot,Classroom,division
BT101,D,L2,I&III
BT101,D1,L3,II&IV
BT202,A,4102,
BT205,C,4102,
BT208,D,4102,
BT302,A1,4207,
BT305,D1,4207,
BT306,E1,4207,
BT308,C1,4207,
BT401,E,4207,
BT502,E,4210,
BT504,A,4210,
BT601,B1,4210,
BT604,B,4210,
BT607,B,4207,
BT609,D,4210,
BT613,F,4210,
BT616,L,4210,
BT618,I,4210,
BT629,K,4210,
BT630,C,1006,
BT632,C,1207,
BT637,K,4207,
CH212,A,4103,
CH222,B,4103,
CH232,C,4103,
CH233,D,4103,
CH322,D1,4103,
CH323,A1,4103,
CH333,B1,4103,
CH411,A,4006,
CH417,B,4104,
CH418,D,4104,
CH419,E1,2101,
CH421,B,4006,
CH428,E,4104,
CH432,C,4006,
CH433,D,4006,
CH438,C,4005,
CH501,A,3003,
CH603,A,3003,
CH611,B,3003,
CH615,D1,4006,
CH617,C1,4006,
CH621,C,3003,
CH623,D,3003,
CH625,B1,4006,
CH630,E,3003,
CH637,L,4006,
CH640,E1,4006,
CH643,C,4005,
CL204,A,4203,
CL205,B,4102,
CL206,C,4203,
CL207,D,4203,
CL252M,F,4002,
CL307,A1,4203,
CL308:,B1,4203,
CL309,C1,4203,
CL314,D1,4203,
CL352M,G,4002,
CL401,E,4209,
CL404,D,4209,
CL503,A,4209,
CL504,B,4209,
CL612:,K,4203,
CL614,D1,4209,
CL617,C1,4209,
CL618,B1,4209,
CL619,A1,4209,
CL622,D1,4002,
CL623,C1,4002,
CL625,E1,4001,
CL630,F,4209,
CL634,A1,4002,
CL635,F,4203,
CL638,B1,4002,
CL639,C,1G1,
CL642,L,4203,
CS101,A,L2,I&III
CS101,A1,L3,II&IV
CS203,B,1201,
CS204,D,1201,
CS206M,F,1201,
CS222,A,L4,
CS242,C,1201,
CS244,G,1201,
CS344,C1,L1,
CS346,B1,2204,
CS348,D1,2203,
CS350M,G,2204,
CS501,E,2001,
CS503,A1,2001,
CS525,B,2001,
CS526,C,L4,
CS549,D1,1201,
CS558,K,2204,
CS561,E1,2001,
CS666,D,2001,
EN671,C,L1,
HS203,E,1006,
HS212,E,1G1,
HS213,E,3202,
HS220,E,1207,
HS224,E,2101,
HS226,E,2102,
HS234,E,4001,
HS237,E,4005,
HS238,E,4G3,
HS239,E,4G4,
HS242,E,1G2,
HS243,E,L1,
HS406,A,1006,
HS409,A,1G1,
HS413,A,1G2,
HS414,A,3202,
HS415,A,2101,
HS420,A,2102,
HS421,A,1207,
HS422,A,L1,
HS424,A,4G3,
HS425,A,4G4,
LS621,C,Elective_xxxx,
MA102,C,L2,I&III
MA102,C1,L3,II&IV
MA212M,F,1103,
MA224,D,1103,
MA252,B,1103,
MA271,C,1103,
MA312M,G,1103,
MA321,A1,2203,
MA351,B1,2203,
MA373,E1,2203,
MA477,E,2203,
MA502,D,2203,
MA505,E,1104,
MA512,A,1002,
MA513,C,2203,
MA519,E,1103,
MA542,B,1002,
MA547,D,1002,
MA561,C1,1103,
MA571,A,2203,
MA573,B,2203,
MA590,C,1002,
MA591,E,1002,
MA616,L,1002,
MA622,D1,1104,
MA625,A1,1002,
MA641,E1,1103,
MA642,E1,1002,
MA643,C1,1002,
MA644,C1,1104,
MA662,B1,1002,
MA671,D1,1103,
MA685,I,1104,
MA691,E1,1104,
MA746,A,1104,
MA762,D1,1002,
ME101,B,L2,I&III
ME101,B1,L3,II&IV
ME609,C,1G2,
PH102,E,L2,I&III
PH102,E1,L3,II&IV
