Room,B,C,D,E,F,G,E1,D1,C1,B1
2002,,,,EE525,EE213M,,EE647,EE648,EE668,
L1,,,,,,,EE657,,,
2201,EE626,EE270,EE230,,EE642,EE322M,,,EE340,
2202,,,EE636,EE533,,,EE632,EE351,,
3101,EE333,,EE503,EE561,,,,EE645,,
4101,EE580,EE551,,,,,EE646,EE631,EE634,
3202,,EE664,,,,,,,,
2101,,EE671,,,,,,,,
4201,CE222,CE206,CE205,CE648,,,,CE309,CE308,
3102,,CE505,CE643,CE608,CE307,,CE652,CE623,CE607,
4208,,CE661,CE510,,CE524,,,CE595,CE664,
4205,,CE646,,,CE533,,,,,
4211,,,,,,,,,CE614,
4G3,,CE552,,,,,,,,
4001,,CE616,,,,,,,,
1206,,,RT515,,,,,,,
1101,HS622,HS623,HS521,,HS604,,,,,
1102,,,,HS517,,,HS621,,,
4206,,PH443,PH202,,,,,,,
4003,,,PH308,PH308,,,PH446,,,
4004,,PH406,PH410,PH404,,PH382M,PH702,PH704,PH706,
4212,,PH532,PH524,PH521,,,PH545,PH544,PH543,
4004,,,,,,,,PH408,,
1003,,ME223,ME224,,ME607,ME321M,,,ME324,
1005,,ME223,ME224,,ME680,,,,ME324,
1G2,,,,ME605,,,,,,ME522
1004,,,,,,,,ME616,ME553,
1203,,,,ME672,ME554,,,ME665,ME670,
1G1,,,,,,,,,,
xxxx,,,,,,,,,,
