:START_ID(Tweet),:END_ID(Location)
956677973742051329,"Kota Bharu, Kelantan"
956677974014783488,
956677975612772352,"Michigan, USA"
956677978166996998,"Somewhere, India"
956677978532040704,"Florida, USA"
956677980956385280,"Pennsylvania, USA"
956677981270892544,lebanon
956677981656592385,
956677983636475905,"Grimsby, England"
956677984156618752,ibadan
956677985914052608,South Carolina 
956677987071488000,Kota Rajasthan India
956677987126128642,United States
956677989609062400,
956677990007607297,
956677990280318978,
956677990921912320,california
956677991047794688,lebanon
956677991513272321,चांदवड भारत 
956677993761591296,"San Francisco, CA"
956677993803468800,"Brooklyn, NY"
956677994310873088,"Mesa, Arizona"
956677994327625730,"Hyderabad, India"
956677996521426945,"Buckhead, Atlanta"
956677996647256065,
956677996688982016,India
956677998505230336,"Union, KY"
956678000392753152,United States Heartland
956678000711491585,lebanon
956678001227309056,#Celestial Location
956678001407664128,
956678001550217217,
956678001588162560,"Hollywood, FL"
956678002296762368,"California, USA"
956678002565402624,IRREVERENCIA EN LA DISCUSIÓN Y LEALTAD EN LA ACCIÓN.
956678002976305153,"Hyderabad, India"
956678003475480576,"London, England"
956678003525812230,Planet Earth
956678003727060992,INDIA
956678003827847170,
956678004079554561,London
956678004087799808,"Andhra Pradesh, India"
956678007527301120,"Nova Iguaçu, Brasil"
956678008445722626,"Rourkela , Odisha"
956678008617631744,"Rewa, India"
956678008986832901,ct
956678009301405696,
956678009376923649,lebanon
956678010182119424,"Haryana, India"
956678010869989376,Los Angeles
956678011146813440,Madanapalli
956678011948032007,"Kekistan, "
956678012614955010,"Spring, TX"
956678012862369792,
956678013013327877,Williamsburg
956678014225481728,
956678014389059584,
956678014892498944,"New York, NY/ Cincinnati"
956678015978647552,Hyderabad
956678016297570304,
956678018537312256,lebanon
956678018675761152,sierra’s house
956678019204177920,"Greensboro, NC"
956678023813652480,"Andhra Pradesh, India"
956678025466253313,North Carolina
956678026955079681,Madanapalli
956678027542491137,lebanon
956678027584274432,"Phoenix, AZ"
956678027903164422,America
956678029983567872,
956678030281207808,WorldWide 80Million StealthRUs
956678030620950528,"SGV to OC, California"
956678032944783360,United States of America
956678034475638784,
956678034698002433,Lisboa
956678035771613184,"Hyderabad, India"
956678035809406978,Alabama
956678035909955584,india
956678036065214464,
956678037273227266,lebanon
956678039064072192,"New Prague, MN"
956678039483625472,"Amsterdam, The Netherlands"
956678039898861569,
956678042075713536,India
956678042289614848,
956678042570706944,"Milton, Fl."
956678044063813632,United States
956678046173581313,
956678046391685121,"Southampton, England"
956678048396599296,
956678050225127424,
956678051080876032,With James Spiritually
956678051559104512,lebanon
956678054746705920,"Tallahassee, Florida"
956678055317172224,United Kingdom
956678055942021125,
956678056596221952,DC and Marvel Universe
956678056608870400,Prague
956678056625647617,"Miami, FL"
956678056642469888,"Miami, FL"
956678056650817541,"Los Angeles, CA"
956678056655007744,
956678056663330819,Everywhere
956678056675962880,London
956678056680177664,
956678056709537792,"Ohio, USA"
956678056717967360,
956678056868962304,Germany
956678057447878656,"Salem , NY"
956678058790064128,
956678059658219520,MI
956678060027326464,
956678060463419392,"Rewari, India"
956678060522295297,"Kolkata, India"
956678062661279749,चांदवड भारत 
956678062854127616,
956678063529578498,
956678064309760001,lebanon
956678065148518400,"राजस्थान, भारत "
956678066608074752,"Lucknow, India"
