media_id:ID(Media),media_type,display_url,media_url
814177587123601408,video,pic.twitter.com/oWkmrNheok,https://video.twimg.com/amplify_video/814177587123601408/vid/240x240/RuOxk5n5Eix_DDio.mp4
956232317994856449,photo,pic.twitter.com/0HBr7Oku0Q,https://pbs.twimg.com/media/DUU4OhTU8AEXHX-.jpg
956582103633756167,photo,pic.twitter.com/UHRke0t0MO,https://pbs.twimg.com/media/DUZ2WuWWAAcoZeZ.jpg
956582103637950470,photo,pic.twitter.com/UHRke0t0MO,https://pbs.twimg.com/media/DUZ2WuXWAAYn3Wx.jpg
956582103646457857,photo,pic.twitter.com/UHRke0t0MO,https://pbs.twimg.com/media/DUZ2WuZX0AEOGnL.jpg
956582103688335360,photo,pic.twitter.com/UHRke0t0MO,https://pbs.twimg.com/media/DUZ2WujW0AA9cQB.jpg
956615938748502016,photo,pic.twitter.com/IsI9Ls7wKJ,https://pbs.twimg.com/media/DUaVIL-U0AAGchS.jpg
956543097743163392,photo,pic.twitter.com/VMVDOMrrey,https://pbs.twimg.com/media/DUZS4SFVQAA0rnA.jpg
956569409706840065,photo,pic.twitter.com/u3j8scghU8,https://pbs.twimg.com/media/DUZqz1yU0AELlye.jpg
956571537632477184,animated_gif,pic.twitter.com/epl4gTBRMn,https://video.twimg.com/tweet_video/DUZsvs7VQAAourQ.mp4
956558763531558912,photo,pic.twitter.com/3tcoLtNcN7,https://pbs.twimg.com/media/DUZhIJsV4AAd2EY.jpg
956594215735250944,photo,pic.twitter.com/ldAEKRZ8Xt,https://pbs.twimg.com/media/DUaBXvcX0AAo645.jpg
956226637414223872,photo,pic.twitter.com/9Nnx36fZqe,https://pbs.twimg.com/media/DUUzD3fXUAA3KDJ.jpg
