:START_ID(Tweet),:END_ID(Tweet)
956677973742051329,956677025091104768
956677974014783488,956677447692386304
956677975612772352,956532592584556544
956677978532040704,956592731953999872
956677980956385280,956647422696009728
956677981270892544,956235307439009792
956677985914052608,956677372572413952
956677987071488000,956339840416657408
956677987126128642,956572493707431936
956677990007607297,956469418149732352
956677990280318978,956585615310643200
956677990921912320,956664537477992448
956677991047794688,956232328795242496
956677991513272321,956677952380461056
956677993761591296,956598385896640512
956677993803468800,956585615310643200
956677994327625730,956556038693535744
956677996521426945,956526261911764992
956677996647256065,956582126589300736
956678000392753152,956582937478152192
956678000711491585,956230329383006208
956678001227309056,956661749515612160
956678001550217217,956421062333526016
956678002296762368,956615961473310720
956678002565402624,956551620615135232
956678002976305153,956553939637346304
956678003525812230,956194300622196736
956678003727060992,956677628001333248
956678004079554561,956572493707431936
956678004087799808,956545867195891712
956678007527301120,956572493707431936
956678008617631744,956543239271604224
956678008986832901,956552967494258688
956678009376923649,956228595931910144
956678010182119424,956429279838924800
956678010869989376,956677857408774144
956678011146813440,956569419282464768
956678011948032007,956582965370413056
956678012614955010,956592731953999872
956678012862369792,956572493707431936
956678013013327877,956418494496690176
956678014225481728,956532592584556544
956678014389059584,956644333641523200
956678014892498944,956666087629668352
956678015978647552,956573717168926720
956678016297570304,956571605248835584
956678018537312256,956227653098381312
956678018675761152,956554303736635392
956678019204177920,956591271551922176
956678023813652480,956558821962366976
956678025466253313,956552967494258688
956678026955079681,956569167133425664
956678027542491137,956227280451391488
956678027903164422,956672754136186880
956678029983567872,956550028146946048
956678030281207808,956572365969936384
956678032944783360,956533585409970176
956678034698002433,956575979840909312
956678035771613184,956553430465765376
956678035809406978,956594223544971264
956678036065214464,956536816793980928
956678037273227266,956226832403230720
956678039064072192,956585615310643200
956678039898861569,956592731953999872
956678042075713536,956564180915466240
956678042289614848,956574166660141056
956678042570706944,956594736663547904
956678044063813632,956608406974095360
956678046173581313,956597036790493184
956678046391685121,956412595862372352
956678048396599296,956644333641523200
956678050225127424,956645016889257984
956678051080876032,956661174271127552
956678051559104512,956225015493681152
956678054746705920,956640675247816704
956678055317172224,956375096263880704
956678055942021125,956530557038444544
956678056596221952,956647882630742016
956678056608870400,956647882630742016
956678056625647617,956647882630742016
956678056642469888,956647882630742016
956678056650817541,956647882630742016
956678056655007744,956647882630742016
956678056663330819,956647882630742016
956678056675962880,956647882630742016
956678056680177664,956647882630742016
956678056709537792,956647882630742016
956678056717967360,956647882630742016
956678056868962304,956647882630742016
956678057447878656,956622018673348608
956678058790064128,956598385896640512
956678059658219520,956526261911764992
956678060027326464,956582937478152192
956678060463419392,956568765755408384
956678060522295297,956592787675258880
956678063529578498,956575741822623744
956678064309760001,956226268118175744
956678065148518400,956105394291650560
